City_Id,City_Name,City_Name_Ar,Zone_Id,Zone_Name,Zone_Name_Ar,District_Id,District_Name,District_Name_Ar,Pickup_Availability,DropOff_Availability,Zone_Hub_Code,District_Hub_Code,District_FM_Hub_Code
FceDyHXwpSYYF9zGW,Cairo,القاهره,p3eWRJodscc,ElSayeda Zainab,السيده زينب,cHwsNGykCQD,ElSebaeyin,السبعيني,TRUE,TRUE,,,FM-REVERSE-CAIRO
FceDyHXwpSYYF9zGW,Cairo,القاهره,p3eWRJodscc,ElSayeda Zainab,السيده زينب,SCImW-yYxFL,Sayeda Naffisa,السيده نفيسه,TRUE,TRUE,,,FM-REVERSE-CAIRO
FceDyHXwpSYYF9zGW,Cairo,القاهره,p3eWRJodscc,ElSayeda Zainab,السيده زينب,M9gZWmjoSgm,ElAtris,العتريس,TRUE,TRUE,,,FM-REVERSE-CAIRO
FceDyHXwpSYYF9zGW,Cairo,القاهره,p3eWRJodscc,ElSayeda Zainab,السيده زينب,NTTdz_ciNJf,Kasr ElEini,القصر العيني,TRUE,TRUE,,,FM-REVERSE-CAIRO
FceDyHXwpSYYF9zGW,Cairo,القاهره,p3eWRJodscc,ElSayeda Zainab,السيده زينب,WJf_941ZEwy,Khairat,خيرت,TRUE,TRUE,,,FM-REVERSE-CAIRO
FceDyHXwpSYYF9zGW,Cairo,القاهره,p3eWRJodscc,ElSayeda Zainab,السيده زينب,B9j9Ev-Ccjh,Zeinhom,زينهم,TRUE,TRUE,,,FM-REVERSE-CAIRO
FceDyHXwpSYYF9zGW,Cairo,القاهره,p3eWRJodscc,ElSayeda Zainab,السيده زينب,SsLudcGuTRP,Sonqor,سنقر,TRUE,TRUE,,,FM-REVERSE-CAIRO
FceDyHXwpSYYF9zGW,Cairo,القاهره,p3eWRJodscc,ElSayeda Zainab,السيده زينب,2FHJ95m6Y5Y,Tolon,طولون,TRUE,TRUE,,,FM-REVERSE-CAIRO
FceDyHXwpSYYF9zGW,Cairo,القاهره,yFlUbkfe2KmIOp2p,ElMokattam,المقطم,iRmibLIzp1h,Uptown Cairo,اب تاون كايرو,TRUE,TRUE,MOKATTAM,MOKATTAM,FM-REVERSE-CAIRO
FceDyHXwpSYYF9zGW,Cairo,القاهره,yFlUbkfe2KmIOp2p,ElMokattam,المقطم,4xf7tNuWa7l,ElMokattam - ElHadaba ElWosta,المقطم - الهضبه الوسطي,TRUE,TRUE,MOKATTAM,MOKATTAM,FM-REVERSE-CAIRO
FceDyHXwpSYYF9zGW,Cairo,القاهره,yFlUbkfe2KmIOp2p,ElMokattam,المقطم,1HCt9FuWm9m,ElMokattam - Street 9,المقطم - شارع ٩,TRUE,TRUE,MOKATTAM,MOKATTAM,FM-REVERSE-CAIRO
FceDyHXwpSYYF9zGW,Cairo,القاهره,yFlUbkfe2K,ElKhalifa,الخليفه,tAyH-G_FcmB,ElAbajiyyah,الاباجيه,TRUE,TRUE,MOKATTAM,MOKATTAM,FM-REVERSE-CAIRO
FceDyHXwpSYYF9zGW,Cairo,القاهره,dQOR0q4COjC,Abdeen,عابدين,xaIYyy8O9p0,ElBalaqsah,البلاقسه,TRUE,TRUE,,,FM-REVERSE-CAIRO
FceDyHXwpSYYF9zGW,Cairo,القاهره,dQOR0q4COjC,Abdeen,عابدين,0WKRfdPocnN,ElGazirah ElGadidah,الجزيره الجديده,TRUE,TRUE,,,FM-REVERSE-CAIRO
FceDyHXwpSYYF9zGW,Cairo,القاهره,dQOR0q4COjC,Abdeen,عابدين,5XSBwJL0WN2,ElDawawin,الدواوين,TRUE,TRUE,,,FM-REVERSE-CAIRO
FceDyHXwpSYYF9zGW,Cairo,القاهره,dQOR0q4COjC,Abdeen,عابدين,GIDYHDS8NGc,ElSahah,الساحه,TRUE,TRUE,,,FM-REVERSE-CAIRO
FceDyHXwpSYYF9zGW,Cairo,القاهره,dQOR0q4COjC,Abdeen,عابدين,BD9VOYzplzI,ElSaqayin,السقايين,TRUE,TRUE,,,FM-REVERSE-CAIRO
FceDyHXwpSYYF9zGW,Cairo,القاهره,dQOR0q4COjC,Abdeen,عابدين,XnjP6Aw53u_,ElSheikh Abd Allah,الشيخ عبد الله,TRUE,TRUE,,,FM-REVERSE-CAIRO
FceDyHXwpSYYF9zGW,Cairo,القاهره,dQOR0q4COjC,Abdeen,عابدين,Zd9YG_OW46x,ElFawalah,الفواله,TRUE,TRUE,,,FM-REVERSE-CAIRO
FceDyHXwpSYYF9zGW,Cairo,القاهره,dQOR0q4COjC,Abdeen,عابدين,rmtiGnvfJSH,Bab ElLouq,باب اللوق,TRUE,TRUE,,,FM-REVERSE-CAIRO
FceDyHXwpSYYF9zGW,Cairo,القاهره,dQOR0q4COjC,Abdeen,عابدين,8G-6HQ_VQpB,Rahbet Abdin,رحبه عابدين,TRUE,TRUE,,,FM-REVERSE-CAIRO
FceDyHXwpSYYF9zGW,Cairo,القاهره,dQOR0q4COjC,Abdeen,عابدين,kQIpwaQl4fm,Ghayt ElAdah,غيط العده,TRUE,TRUE,,,FM-REVERSE-CAIRO
FceDyHXwpSYYF9zGW,Cairo,القاهره,dQOR0q4COjC,Abdeen,عابدين,_wqPSkpJv63,ElAtaba,العتبه,TRUE,TRUE,,,FM-REVERSE-CAIRO
FceDyHXwpSYYF9zGW,Cairo,القاهره,X8cQwam6-4,Qasr ElNile,قسم قصر النيل,JSfFhvnU8iC,Garden City,جاردن سيتي,TRUE,TRUE,,,FM-REVERSE-CAIRO
FceDyHXwpSYYF9zGW,Cairo,القاهره,zFdbFQkVqV,ElAzbakeya,الازبكيه,cT-y_0zLq_N,ElRihani,الريحاني,TRUE,TRUE,,,FM-REVERSE-CAIRO
FceDyHXwpSYYF9zGW,Cairo,القاهره,zFdbFQkVqV,ElAzbakeya,الازبكيه,Et_2_B6cNX7,ElFagalah,الفجاله,TRUE,TRUE,,,FM-REVERSE-CAIRO
FceDyHXwpSYYF9zGW,Cairo,القاهره,zFdbFQkVqV,ElAzbakeya,الازبكيه,CNrLD3OtqY8,ElQebleyah,القبليه,TRUE,TRUE,,,FM-REVERSE-CAIRO
FceDyHXwpSYYF9zGW,Cairo,القاهره,zFdbFQkVqV,ElAzbakeya,الازبكيه,IH5ztR4XODu,ElQolali,القللي,TRUE,TRUE,,,FM-REVERSE-CAIRO
FceDyHXwpSYYF9zGW,Cairo,القاهره,zFdbFQkVqV,ElAzbakeya,الازبكيه,7YXQXIQJPlA,Klot Beik,كلوت بك,TRUE,TRUE,,,FM-REVERSE-CAIRO
FceDyHXwpSYYF9zGW,Cairo,القاهره,EYNsM7fCli,Bab ElSharia,باب الشعريه,Dnn9qUXCXyL,ElSawabi,الصوابي,TRUE,TRUE,,,FM-REVERSE-CAIRO
FceDyHXwpSYYF9zGW,Cairo,القاهره,EYNsM7fCli,Bab ElSharia,باب الشعريه,GufKiuQ1g3x,ElAdawy,العدوي,TRUE,TRUE,,,FM-REVERSE-CAIRO
FceDyHXwpSYYF9zGW,Cairo,القاهره,EYNsM7fCli,Bab ElSharia,باب الشعريه,_-GfFP-3Vgo,ElMansi,المنسي,TRUE,TRUE,,,FM-REVERSE-CAIRO
FceDyHXwpSYYF9zGW,Cairo,القاهره,EYNsM7fCli,Bab ElSharia,باب الشعريه,N7wl5YqQ1HU,ElNasr,النصر,TRUE,TRUE,,,FM-REVERSE-CAIRO
FceDyHXwpSYYF9zGW,Cairo,القاهره,EYNsM7fCli,Bab ElSharia,باب الشعريه,VhD9KQBJukN,Bab ElBahr,باب البحر,TRUE,TRUE,,,FM-REVERSE-CAIRO
FceDyHXwpSYYF9zGW,Cairo,القاهره,EYNsM7fCli,Bab ElSharia,باب الشعريه,xUOTz3AVzHl,Berket ElZatli,بركه الظاتلي,TRUE,TRUE,,,FM-REVERSE-CAIRO
FceDyHXwpSYYF9zGW,Cairo,القاهره,EYNsM7fCli,Bab ElSharia,باب الشعريه,WdhqXCc3jtC,Darb ElAkmaeya,درب الاقماعيه,TRUE,TRUE,,,FM-REVERSE-CAIRO
FceDyHXwpSYYF9zGW,Cairo,القاهره,EYNsM7fCli,Bab ElSharia,باب الشعريه,kjMwxYT7Zkv,Sidi Madin,سيدي مدين,TRUE,TRUE,,,FM-REVERSE-CAIRO
FceDyHXwpSYYF9zGW,Cairo,القاهره,M4RlEEGXBd3,Daher,الضاهر,sChmbPjNQbm,Abu Khodah,ابو خوده,TRUE,TRUE,,,FM-REVERSE-CAIRO
FceDyHXwpSYYF9zGW,Cairo,القاهره,M4RlEEGXBd3,Daher,الضاهر,Wm9OwwWyd3L,ElGanzouri,الجنزوري,TRUE,TRUE,,,FM-REVERSE-CAIRO
FceDyHXwpSYYF9zGW,Cairo,القاهره,M4RlEEGXBd3,Daher,الضاهر,LjOyteTOnKM,ElSakakeni,السكاكيني,TRUE,TRUE,,,FM-REVERSE-CAIRO
FceDyHXwpSYYF9zGW,Cairo,القاهره,M4RlEEGXBd3,Daher,الضاهر,9wD2KKwdMkL,ElZaher,الظاهر,TRUE,TRUE,,,FM-REVERSE-CAIRO
FceDyHXwpSYYF9zGW,Cairo,القاهره,M4RlEEGXBd3,Daher,الضاهر,kWqe266DM9X,ElQbeisi,القبيسي,TRUE,TRUE,,,FM-REVERSE-CAIRO
FceDyHXwpSYYF9zGW,Cairo,القاهره,M4RlEEGXBd3,Daher,الضاهر,Mmq3BHrLlf_,Ghamrah,غمره,TRUE,TRUE,,,FM-REVERSE-CAIRO
FceDyHXwpSYYF9zGW,Cairo,القاهره,30K7xAaRfhp,ElSharabiya,الشرابيه,-_BTvFuTlOP,Mahmashah,مهمشه,TRUE,TRUE,,,FM-REVERSE-CAIRO
FceDyHXwpSYYF9zGW,Cairo,القاهره,e0--ui8WaFh,Rod ElFarag,روض الفرج,uBXAIBGzXwk,Ebn ElRashid,ابن الرشيد,TRUE,TRUE,,,FM-REVERSE-CAIRO
FceDyHXwpSYYF9zGW,Cairo,القاهره,e0--ui8WaFh,Rod ElFarag,روض الفرج,PfUyYudHiYW,ElMabyadah,المبيضه,TRUE,TRUE,,,FM-REVERSE-CAIRO
FceDyHXwpSYYF9zGW,Cairo,القاهره,e0--ui8WaFh,Rod ElFarag,روض الفرج,PRteaLrXHzO,Gazirat Badran,جزيره بدران,TRUE,TRUE,,,FM-REVERSE-CAIRO
FceDyHXwpSYYF9zGW,Cairo,القاهره,e0--ui8WaFh,Rod ElFarag,روض الفرج,Qi0iTeaoJZb,ElBalad,البلد,TRUE,TRUE,,,FM-REVERSE-CAIRO
FceDyHXwpSYYF9zGW,Cairo,القاهره,e0--ui8WaFh,Rod ElFarag,روض الفرج,B-cWrxAloMe,Toson,طوسون,TRUE,TRUE,,,FM-REVERSE-CAIRO
FceDyHXwpSYYF9zGW,Cairo,القاهره,e0--ui8WaFh,Rod ElFarag,روض الفرج,QHTSKHSAjsd,Qasouret ElShawam,قصوره الشوام,TRUE,TRUE,,,FM-REVERSE-CAIRO
FceDyHXwpSYYF9zGW,Cairo,القاهره,kb9VJKDWo_-,Elsahel,الساحل,MW6Qntv5-Yc,Asad,اسعد,TRUE,TRUE,,,FM-REVERSE-CAIRO
FceDyHXwpSYYF9zGW,Cairo,القاهره,kb9VJKDWo_-,Elsahel,الساحل,8-zagIzo78B,ElBarad,البراد,TRUE,TRUE,,,FM-REVERSE-CAIRO
FceDyHXwpSYYF9zGW,Cairo,القاهره,kb9VJKDWo_-,Elsahel,الساحل,ENkuUJ2kU,ElKhazendarah,الخازنداره,TRUE,TRUE,,,FM-REVERSE-CAIRO
FceDyHXwpSYYF9zGW,Cairo,القاهره,kb9VJKDWo_-,Elsahel,الساحل,WZrgwtMcn6,Borham,برهام,TRUE,TRUE,,,FM-REVERSE-CAIRO
FceDyHXwpSYYF9zGW,Cairo,القاهره,kb9VJKDWo_-,Elsahel,الساحل,L-JjQCsxf-,Sherif,شريف,TRUE,TRUE,,,FM-REVERSE-CAIRO
FceDyHXwpSYYF9zGW,Cairo,القاهره,kb9VJKDWo_-,Elsahel,الساحل,PArR4Ht5vz,Menyat ElSerg,منيه السيرج,TRUE,TRUE,,,FM-REVERSE-CAIRO
FceDyHXwpSYYF9zGW,Cairo,القاهره,5ztjryfSSB,ElWaili,الوايلي,UsWF8UpsFF,ElDemerdash,الدمرداش,TRUE,TRUE,,,FM-REVERSE-CAIRO
FceDyHXwpSYYF9zGW,Cairo,القاهره,5ztjryfSSB,ElWaili,الوايلي,f9HgAINHm6,ElSarayat,السرايات,TRUE,TRUE,,,FM-REVERSE-CAIRO
FceDyHXwpSYYF9zGW,Cairo,القاهره,5ztjryfSSB,ElWaili,الوايلي,lYhjwV9K2H,ElMohamady,المحمدي,TRUE,TRUE,,,FM-REVERSE-CAIRO
FceDyHXwpSYYF9zGW,Cairo,القاهره,5ztjryfSSB,ElWaili,الوايلي,y8xH7k0ad6,Bein ElGanayen,بين الجناين,TRUE,TRUE,,MOHANDESSIN,FM-REVERSE-CAIRO
FceDyHXwpSYYF9zGW,Cairo,القاهره,5ztjryfSSB,ElWaili,الوايلي,MVhVuAk0NL,Ganayen ElWaileyah,جناين الوايلايه,TRUE,TRUE,,MOHANDESSIN,FM-REVERSE-CAIRO
FceDyHXwpSYYF9zGW,Cairo,القاهره,Ko5LSuutK0,Hadaiq ElQobbah,حداءق القبه,Y2es6CFsT1,Kobry ElQobbah,كوبري القبه,TRUE,TRUE,,,FM-REVERSE-CAIRO
FceDyHXwpSYYF9zGW,Cairo,القاهره,Ko5LSuutK0,Hadaiq ElQobbah,حداءق القبه,YLBfiAop1u,ElKhassah,الخاصه,TRUE,TRUE,,,FM-REVERSE-CAIRO
FceDyHXwpSYYF9zGW,Cairo,القاهره,Ko5LSuutK0,Hadaiq ElQobbah,حداءق القبه,haYg76qphWZ,Masaken ElAmireyah ElGanoubeyah,مساكن الاميريه الجنوبيه,TRUE,TRUE,,,FM-REVERSE-CAIRO
FceDyHXwpSYYF9zGW,Cairo,القاهره,Ko5LSuutK0,Hadaiq ElQobbah,حداءق القبه,xMyv2KkFksv,Mansheyat ElSadr,منشيه الصدر,TRUE,TRUE,,,FM-REVERSE-CAIRO
FceDyHXwpSYYF9zGW,Cairo,القاهره,bibVdtGGuSV,ElZeytoun,الزيتون,jqv7ZZb5iLm,ElZeytoun ElBahareya,الزيتون البحريه,TRUE,TRUE,,,FM-REVERSE-CAIRO
FceDyHXwpSYYF9zGW,Cairo,القاهره,bibVdtGGuSV,ElZeytoun,الزيتون,rVk81Rw71XK,ElZeytoun Sharkeya,الزيتون الشرقيه,TRUE,TRUE,,,FM-REVERSE-CAIRO
FceDyHXwpSYYF9zGW,Cairo,القاهره,bibVdtGGuSV,ElZeytoun,الزيتون,EISTWQmEx-0,ElZeytoun ElGharbeyah,الزيتون الغربيه,TRUE,TRUE,,,FM-REVERSE-CAIRO
FceDyHXwpSYYF9zGW,Cairo,القاهره,bibVdtGGuSV,ElZeytoun,الزيتون,TvHDR0Qh2No,ElZeytoun ElQebleyah,الزيتون القبليه,TRUE,TRUE,,,FM-REVERSE-CAIRO
